osm_id,velocity,business_id,ts
98152953,,0x6ad61567480f54f5:0x82d2f875ed00aa24,2026-07-16T00:32:03.402754
34006896,,0x95bccaeeca904a5f:0x281dc111813781af,2026-07-16T00:32:04.988543
106675499,,0x47c6096121651147:0x636144de4098cbe3,2026-07-16T00:32:11.156673
143925865,,0x8e3f9a9208564b6d:0x45747837bce92023,2026-07-16T00:32:11.555305
106822993,,0x47c609eaa776ef15:0x3ec468058ef08173,2026-07-16T00:32:13.159570
178786887,,0x6ad66d4de9deb82d:0xf3ee347e2efcfe44,2026-07-16T00:32:17.929653
214964019,,0x6ad63a7b6af2e467:0x2d5b5bc72d267db9,2026-07-16T00:32:20.948801
194638984,,0x6ad66e51dcb4487b:0x527bf04e713282bf,2026-07-16T00:32:21.671934
219908896,,0x2a32798fbd0e2d35:0x112b3c6d5482c893,2026-07-16T00:32:26.007788
241367848,,0x8e3f9998f6af43db:0xf06c022c86e8e28f,2026-07-16T00:32:28.098756
241367921,,0x30da3008c6b213ed:0x8ed4ebed7ea3b33d,2026-07-16T00:32:29.002369
243151934,,0x47c6099812a06c11:0x33cac68aa60d8406,2026-07-16T00:32:33.435507
243645987,,0x47c6099570dc2bed:0xe7db9782a7d94f14,2026-07-16T00:32:35.875131
243445262,,0x6ad6431136281d7d:0xfd229706aeee5972,2026-07-16T00:32:36.406929
243794629,,0x6ad642b58ddc078b:0x1dfb1c754f461d0b,2026-07-16T00:32:39.528854
247170132,,0x47c60971b2e1659b:0x18ccb72f4e2e5c2c,2026-07-16T00:32:42.416058
245806668,,0x47c609a20aca1fa5:0x4957c7d9d899ce20,2026-07-16T00:32:42.875669
248969240,,0x6ad643268d8095e1:0x5977889f60861157,2026-07-16T00:32:48.951215
247633178,,0x47c60954ef823f63:0x73738f27a7170b6f,2026-07-16T00:32:49.287003
248229930,,0x6ad6432041b2a371:0x9b52e0c14ceec436,2026-07-16T00:32:49.961677
256993102,,0x6ad642d321509437:0x96445202b36d58b3,2026-07-16T00:32:56.177485
258289357,,0x47c6096121651147:0x636144de4098cbe3,2026-07-16T00:32:56.646794
249447239,,0x6ad667ffce0e7d31:0x74ffc7311c423f82,2026-07-16T00:32:57.249082
258968886,,0x6ad667ffce0e7d31:0x74ffc7311c423f82,2026-07-16T00:33:03.895563
259141406,,0x47c6096121651147:0x636144de4098cbe3,2026-07-16T00:33:04.610261
261560429,,0x8e3f9a9208564b6d:0x45747837bce92023,2026-07-16T00:33:11.003062
261399852,,0x464d3fbee64e9a1b:0x56226fe62e75619,2026-07-16T00:33:12.851954
264605657,,0x6ad66ad2d0c5f4df:0x90e6ccec102a5021,2026-07-16T00:33:18.899862
266155502,,0x6ad623204edbdf13:0xd693b12f0495be0,2026-07-16T00:33:20.735330
266740556,,0x6ad6429262764cf9:0xff3046715c06f7ca,2026-07-16T00:33:25.529506
266740661,,0x6ad6428d1a03425f:0xa048a040f6ea543a,2026-07-16T00:33:27.323131
268177215,,0x47c0bdb49bc43af5:0xc69256540d2972bf,2026-07-16T00:33:33.885444
267464189,,0x47c609af4bc401cb:0x466851d2c8477e5f,2026-07-16T00:33:33.996831
270652136,,0x6ad63f006ea34719:0x1601429245448c0f,2026-07-16T00:33:41.370667
279248794,,0x8e3f9a45b9f7c7cf:0x9f5f6578163ec4a2,2026-07-16T00:33:42.664509
279249060,,0x47c609f964421e93:0xbb574e765d0c5ef8,2026-07-16T00:33:49.586689
280435190,,0x3031318e649c49b1:0xa5e4f38f3b0b31ee,2026-07-16T00:33:51.168350
281363834,,0x6ad65c7bbbc30f99:0xb4ac16fb675e28b,2026-07-16T00:33:55.418990
282599745,,0x47c60b70865c71e7:0xaf9c087c44748b3d,2026-07-16T00:33:57.851178
282825869,,0x47c609850d2f9f77:0x3d5b372a15752f3a,2026-07-16T00:34:01.154008
282825871,,0x48761cbaf731d95f:0xd9496473a4cc8c13,2026-07-16T00:34:03.418230
290901143,,0x6ad6174d7a8ac7dd:0xdf61ba0141970cfb,2026-07-16T00:34:06.051412
291549259,,0x47c609df8b40081f:0x42cb4a83c9fc642a,2026-07-16T00:34:11.795390
291725285,,0x8e3f999b063aebf7:0x8eea34fd1d01fdf8,2026-07-16T00:34:12.659833
298316236,,0x47c6096121651147:0x636144de4098cbe3,2026-07-16T00:34:13.267324
299026704,,0x47c60b123863fb0f:0x21590f6860838994,2026-07-16T00:34:18.933686
301497066,,0x8e3e3d3005234c97:0x9f81675a084f327c,2026-07-16T00:34:20.023777
301707220,,0x6ad642ded4a0db0b:0xe0845ae86d0b9061,2026-07-16T00:34:20.514655
