osm_id,osm_type,name,category,cuisine,lat,lon,address,suburb,website,opening_hours,rating,review_count,review_velocity_per_week,popularity_review,foot_monthly,foot_daily_avg,dwell_min,foot_source,popularity_foot,suburb_source,suburb_conf_km
9778592831,node,Wyndham Vale Pizza,restaurant,pizza,-37.8950189,144.6222541,,Werribee,,,4.4,214,,45.8,,,,,,nearest,3.14
9778592832,node,Mel's Foodstore,restaurant,,-37.8950224,144.6221904,,Werribee,,,4.6,47,,38.8,,,,,,nearest,3.145
9780481240,node,Imm Oon Thai Restaurant & Bar,restaurant,thai,-37.7567557,145.3478085,133-139 Main Street Service Road,Lilydale,https://immoon.com.au/,,4.6,619,,52.2,,,,,,osm,0.0
9780514498,node,Yarra Valley Fish & Chips,fast_food,fish_and_chips,-37.7568205,145.3480343,141 Main Street Service Road,Lilydale,,,3.8,229,,43.8,,,,,,osm,0.0
9787356644,node,Burger Basement,fast_food,burger;australian,-37.7168186,144.9361557,1 Pascoe Street,Pascoe Vale,,Su-Th 11:30-21:00; Fr-Sa 11:30-23:00,4.3,1064,,53.8,,,,,,osm,0.0
9796087246,node,Freddy's Fish and Chips,fast_food,fish_and_chips,-37.7810774,144.9777463,779 Nicholson Street,Fitzroy North,https://www.facebook.com/FreddysFishandChips/,,4.5,124,,43.4,,,,,,nearest,0.15
9796145705,node,Nahm Tao Thai Kitchen,restaurant,thai,-37.8055552,144.9544816,348 Victoria Street,North Melbourne,https://nahmtaothaikitchen.com.au/,,4.7,423,,50.6,,,,,,nearest,0.163
9800507401,node,Kitchen Republic,restaurant,asian,-37.8192436,145.1230074,,Box Hill,,"Su-Th 11:00-20:30; Fr,Sa 11:00-21:00",4.1,1256,,53.9,,,,,,nearest,0.069
9800507402,node,Sushi Jiro,restaurant,sushi,-37.8192392,145.1221227,,Box Hill,,,,,,,,,,,,nearest,0.085
9800507403,node,Top Tea,cafe,bubble_tea,-37.8192631,145.121979,,Box Hill,,,,,,,,,,,,nearest,0.088
9819830670,node,Circa 1884 - The Berwick Courthouse,bar,,-38.0316591,145.346441,1 Gloucester Avenue,Berwick,,,4.9,268,,49,,,,,,osm,0.0
9819830671,node,Sandros Cafe and Restaurant Bar,restaurant,,-38.0316971,145.3467181,,Berwick,,,4.3,669,,51.4,,,,,,nearest,0.025
9819871350,node,Newyork Barbers,restaurant,,-38.0317627,145.3456413,,Berwick,,,4.5,439,,50,,,,,,nearest,0.071
9819871351,node,Cold Rock Ice Creamery,ice_cream,ice_cream,-38.0317043,145.3450283,,Berwick,,,,,,,,,,,,nearest,0.116
9819894920,node,Flour & Fern,cafe,,-38.0302476,145.3458525,,Berwick,,,4.2,289,,46.6,,,,,,nearest,0.118
